stimulus,left_image,right_image,condition,target_side,correct_response,background
Intro,ocean-left,ocean-right,Filler,L,0,black-background
Car_Where,tractor,car,Fam-Veh,R,1,black-background
Peas_Look,peas,orangeF,Fam-Food,L,0,black-background
Banana_Where,apple,banana,Fam-Food,R,1,black-background
Cookie_Find,cheerios,cookie,Fam-Food,R,1,black-background
Truck_Look,truck,motorcycle,Fam-Veh,L,0,black-background
Bike_Find,stroller,bike,Fam-Veh,R,1,black-background
Boat_Look,boat,helicopter,Fam-Veh,L,0,black-background
Train_Where,train,bus,Fam-Veh,L,0,black-background
Milk_Where,milk,pancake,Fam-Food,L,0,black-background
Carrots_Find,grapes,carrots,Fam-Food,R,1,black-background
Airplane_Look,tricycle,airplane,Fam-Veh,R,1,black-background
Strawberry_Find,strawberry,cheese,Fam-Food,L,0,black-background
Doll_Where,doll,blocks,Filler,L,0,black-background
Blocks_Find,doll,blocks,Filler,R,1,black-background
Strawberry_Where,red,yellow,Test-Food,L,0,black-background
Car_Look,yellow,red,Test-Veh,R,1,black-background
Bike_Where,white,brown,Test-Veh,L,0,black-background
Cookie_Where,brown,white,Test-Food,L,0,black-background
Train_Find,white,brown,Test-Veh,R,1,black-background
Carrots_Look,green,orange,Test-Food,R,1,black-background
Airplane_Find,green,orange,Test-Veh,L,0,black-background
Milk_Find,brown,white,Test-Food,R,1,black-background
Banana_Find,yellow,red,Test-Food,L,0,black-background
Boat_Where,red,yellow,Test-Veh,R,1,black-background
Truck_Find,orange,green,Test-Veh,L,0,black-background
Peas_Find,orange,green,Test-Food,R,1,black-background
End,fireworks-left,fireworks-right,Filler,L,0,black-background
